venue_id,venue_name,issue_type,severity,field,current_value,suggested_fix,notes
243,Eastern Margins,Location,CRITICAL,location,Pop-up venues,Pop-up venues,'Pop-up venues' not in approved neighborhoods list
244,Tech Couture LDN,Location,CRITICAL,location,"FOLD, Canning Town","FOLD, Canning Town",'FOLD' not in approved neighborhoods list
245,Opia,Location,CRITICAL,location,East London,East London,'East London' not in approved neighborhoods list
246,Queer House Party,Location,CRITICAL,location,Hackney Bridge,Hackney Bridge,'Hackney Bridge' not in approved neighborhoods list
247,Ceilidh Liberation Front,Location,CRITICAL,location,Grand Junction & various,Grand Junction,Contains compound delimiter (& or /)
247,Ceilidh Liberation Front,Location,CRITICAL,location,Grand Junction & various,Grand Junction & various,'Grand Junction & various' not in approved neighborhoods list
248,Bootylicious,Location,CRITICAL,location,Union & Scala,Union,Contains compound delimiter (& or /)
248,Bootylicious,Location,CRITICAL,location,Union & Scala,Union & Scala,'Union & Scala' not in approved neighborhoods list
249,Slimelight,Location,CRITICAL,location,"Electrowerkz, Islington","Electrowerkz, Islington",'Electrowerkz' not in approved neighborhoods list
250,Dark Scene London,Location,CRITICAL,location,"Omeara, London Bridge","Omeara, London Bridge",'Omeara' not in approved neighborhoods list
251,Sanura Dance,Location,CRITICAL,location,Studio 68 & The Castle,Studio 68,Contains compound delimiter (& or /)
251,Sanura Dance,Location,CRITICAL,location,Studio 68 & The Castle,Studio 68 & The Castle,'Studio 68 & The Castle' not in approved neighborhoods list
252,DTMF! (Don't Touch My Fro!),Location,CRITICAL,location,"MOT Unit, South London",MOT Unit,Contains borough/area format
252,DTMF! (Don't Touch My Fro!),Location,CRITICAL,location,"MOT Unit, South London","MOT Unit, South London",'MOT Unit' not in approved neighborhoods list
253,Boudica,Location,CRITICAL,location,"FOLD, Canning Town","FOLD, Canning Town",'FOLD' not in approved neighborhoods list
255,Pink Singers,Location,CRITICAL,location,Central London (various rehearsal and concert spaces),Central London,Contains borough/area format
255,Pink Singers,Location,CRITICAL,location,Central London (various rehearsal and concert spaces),Central London (various rehearsal and concert spaces),'Central London' not in approved neighborhoods list
256,London Sacred Harp,Location,CRITICAL,location,Various churches and halls across London (often Hampstead and central),Various churches and halls across London (often Hampstead and central),'Various churches and halls across London' not in approved neighborhoods list
257,Chickenshed Community Choir,Location,CRITICAL,location,"Chickenshed Theatre and Christ the King, North London",Chickenshed Theatre and Christ the King,Contains borough/area format
257,Chickenshed Community Choir,Location,CRITICAL,location,"Chickenshed Theatre and Christ the King, North London","Chickenshed Theatre and Christ the King, North London",'Chickenshed Theatre and Christ the King' not in approved neighborhoods list
259,Heart Song Collective CIC,Location,CRITICAL,location,South East London (various cosy spaces),South East London,Contains borough/area format
259,Heart Song Collective CIC,Location,CRITICAL,location,South East London (various cosy spaces),South East London (various cosy spaces),'South East London' not in approved neighborhoods list
260,F*Choir,Location,CRITICAL,location,London (roaming across arts and community spaces),London (roaming across arts and community spaces),'London' not in approved neighborhoods list
261,Sing For Freedom Choir,Location,CRITICAL,location,Central London,Central London,'Central London' not in approved neighborhoods list
262,London City Voices,Location,CRITICAL,location,Multiple locations across central London and online,Multiple locations across central London and online,'Multiple locations across central London and online' not in approved neighborhoods list
264,Outer Circle Voice Circle,Location,CRITICAL,location,"SET Social, Peckham","SET Social, Peckham",'SET Social' not in approved neighborhoods list
265,Catford Community Choir,Location,CRITICAL,location,"Corbett Community Library, Catford","Corbett Community Library, Catford",'Corbett Community Library' not in approved neighborhoods list
270,Devise & Conquer – Scratch Night & Cabaret,Location,CRITICAL,location,Dalston / Stoke Newington Road (The Divine),Dalston,Contains compound delimiter (& or /)
270,Devise & Conquer – Scratch Night & Cabaret,Location,CRITICAL,location,Dalston / Stoke Newington Road (The Divine),Dalston / Stoke Newington Road (The Divine),'Dalston / Stoke Newington Road' not in approved neighborhoods list
277,The London Library,Location,CRITICAL,location,"St James's, Central London",St James's,Contains borough/area format
278,British Library (Late Reading Rooms),Location,CRITICAL,location,King's Cross / St Pancras,King's Cross,Contains compound delimiter (& or /)
278,British Library (Late Reading Rooms),Location,CRITICAL,location,King's Cross / St Pancras,King's Cross / St Pancras,'King's Cross / St Pancras' not in approved neighborhoods list
282,Bàrd Books,Location,CRITICAL,location,"Roman Road, Bow","Roman Road, Bow",'Roman Road' not in approved neighborhoods list
283,Second Home Spitalfields,Location,CRITICAL,location,"Spitalfields, E1","Spitalfields, E1",'Spitalfields' not in approved neighborhoods list
285,Polo Bar – 24 Hour Great British Café & Bar,Location,CRITICAL,location,Opposite Liverpool Street Station,Opposite Liverpool Street Station,'Opposite Liverpool Street Station' not in approved neighborhoods list
286,Costa at St Pancras – Station Study Watchpost,Location,CRITICAL,location,"St Pancras International, King's Cross","St Pancras International, King's Cross",'St Pancras International' not in approved neighborhoods list
287,Embracing Grief – London Grief Tending Circles,Location,CRITICAL,location,Hackney (E5) / various London venues,Hackney (E5),Contains compound delimiter (& or /)
288,Old School Rooms @ Round Chapel – Communal Grief Rituals,Location,CRITICAL,location,Clapton / Hackney (E5),Clapton,Contains compound delimiter (& or /)
288,Old School Rooms @ Round Chapel – Communal Grief Rituals,Location,CRITICAL,location,Clapton / Hackney (E5),Clapton / Hackney (E5),'Clapton / Hackney' not in approved neighborhoods list
289,Bija Garden of Wellbeing – Grief Circles in the Garden,Location,CRITICAL,location,West Ealing (W13),West Ealing (W13),'West Ealing' not in approved neighborhoods list
292,Community Sauna Baths – Grief Sauna,Location,CRITICAL,location,Hackney Wick & Stratford (E9 / E20),Hackney Wick,Contains compound delimiter (& or /)
292,Community Sauna Baths – Grief Sauna,Location,CRITICAL,location,Hackney Wick & Stratford (E9 / E20),Hackney Wick & Stratford (E9 / E20),'Hackney Wick & Stratford' not in approved neighborhoods list
294,Grief Rave & Grief Moves – The Fandangoe Discoteca x The Loss Project,Location,CRITICAL,location,"Touring (often Southbank Centre, SE1)","Touring (often Southbank Centre, SE1)",'Touring' not in approved neighborhoods list
295,"Galleria Objets – ""Your Grief Belongs To You, And Can Be So So Pretty""",Location,CRITICAL,location,East London (E1),East London,Contains borough/area format
295,"Galleria Objets – ""Your Grief Belongs To You, And Can Be So So Pretty""",Location,CRITICAL,location,East London (E1),East London (E1),'East London' not in approved neighborhoods list
0,4160 Tuesdays â€“ Perfume Making with Sarah McCartney,Moods,IMPORTANT,moods,"['sensory', 'nostalgic']",Review against approved mood list,"Unapproved moods: sensory, nostalgic"
0,4160 Tuesdays â€“ Perfume Making with Sarah McCartney,Genres,IMPORTANT,genres,"['perfume blending', 'fragrance design']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
0,4160 Tuesdays â€“ Perfume Making with Sarah McCartney,Blurb,IMPORTANT,blurb,"In a scent-laced studio in Acton, the perfumer Sar...",Expand or condense to 50-120 words,Only 47 words (need 50-120)
1,58 and Co â€” Gin School Experience,Moods,IMPORTANT,moods,"['craft & making', 'adult play', 'epicurean']",Review against approved mood list,"Unapproved moods: craft & making, adult play, epicurean"
1,58 and Co â€” Gin School Experience,Genres,IMPORTANT,genres,['gin distilling and tasting'],Adjust to 3-5 genres,Has 1 genres (recommended 3-5)
2,5Rhythms 'FIVE London' Workshop,Moods,IMPORTANT,moods,"['fluid', 'transformative', 'meditative', 'expressive']",Review against approved mood list,"Unapproved moods: fluid, transformative, meditative, expressive"
2,5Rhythms 'FIVE London' Workshop,Genres,IMPORTANT,genres,"['5Rhythms (flowing, staccato, chaos, lyrical, stillness)']",Adjust to 3-5 genres,Has 1 genres (recommended 3-5)
2,5Rhythms 'FIVE London' Workshop,Blurb,IMPORTANT,blurb,Three days. Five rhythms. One unfolding wave. In t...,Expand or condense to 50-120 words,Only 47 words (need 50-120)
3,5Rhythms Dance – We Dance with Nikki Ashley,Moods,IMPORTANT,moods,"['fluid', 'transformative']",Review against approved mood list,"Unapproved moods: fluid, transformative"
3,5Rhythms Dance – We Dance with Nikki Ashley,Genres,IMPORTANT,genres,"['5Rhythms', 'movement meditation']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
4,Ace Cafe London,Moods,IMPORTANT,moods,"['rebellious', 'nostalgic']",Review against approved mood list,"Unapproved moods: rebellious, nostalgic"
4,Ace Cafe London,Genres,IMPORTANT,genres,"['rock n roll', 'live music']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
4,Ace Cafe London,Blurb,IMPORTANT,blurb,"The world's most famous motor cafÃ©, where petrol-...",Expand or condense to 50-120 words,Only 20 words (need 50-120)
5,ActOne Cinema,Moods,IMPORTANT,moods,"['thoughtful', 'nostalgic']",Review against approved mood list,"Unapproved moods: thoughtful, nostalgic"
5,ActOne Cinema,Genres,IMPORTANT,genres,"['independent film', 'mainstream']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
5,ActOne Cinema,Blurb,IMPORTANT,blurb,"A community-run cinema in a former library, co-run...",Expand or condense to 50-120 words,Only 17 words (need 50-120)
6,After-Work Foraging Sessions â€“ Charlotte Gordon Urban Forager,Moods,IMPORTANT,moods,"['curious', 'wild', 'urban explorer']",Review against approved mood list,"Unapproved moods: curious, wild, urban explorer"
6,After-Work Foraging Sessions â€“ Charlotte Gordon Urban Forager,Genres,IMPORTANT,genres,"['foraging', 'plant identification']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
7,Akila Pole Studio,Moods,IMPORTANT,moods,"['empowering', 'community-focused', 'expressive']",Review against approved mood list,"Unapproved moods: empowering, community-focused, expressive"
7,Akila Pole Studio,Blurb,IMPORTANT,blurb,"In Brixtonâ€™s warm-lit studio, poles become partn...",Expand or condense to 50-120 words,Only 48 words (need 50-120)
8,Arcadia Games,Moods,IMPORTANT,moods,"['collaborative', 'story-rich', 'inclusive']",Review against approved mood list,"Unapproved moods: collaborative, story-rich, inclusive"
9,Art Play London â€“ Paper-Making Craft Class,Moods,IMPORTANT,moods,"['craft & making', 'nostalgic']",Review against approved mood list,"Unapproved moods: craft & making, nostalgic"
9,Art Play London â€“ Paper-Making Craft Class,Blurb,IMPORTANT,blurb,"At Art Play London, torn pages and yesterdayâ€™s s...",Expand or condense to 50-120 words,Only 47 words (need 50-120)
10,ArtHouse Crouch End,Moods,IMPORTANT,moods,"['curious', 'playful']",Review against approved mood list,"Unapproved moods: curious, playful"
10,ArtHouse Crouch End,Blurb,IMPORTANT,blurb,"A former Salvation Army hall mixing film, fine art...",Expand or condense to 50-120 words,Only 22 words (need 50-120)
11,artsdepot,Moods,IMPORTANT,moods,"['tender', 'curious']",Review against approved mood list,"Unapproved moods: tender, curious"
12,Asylum Chapel,Moods,IMPORTANT,moods,"['melancholy', 'candlelit', 'sacred']",Review against approved mood list,"Unapproved moods: melancholy, candlelit, sacred"
13,Authentic Movement Workshops – Katsura Isobe,Moods,IMPORTANT,moods,"['introspective', 'witnessed']",Review against approved mood list,"Unapproved moods: introspective, witnessed"
13,Authentic Movement Workshops – Katsura Isobe,Blurb,IMPORTANT,blurb,"Held in sacred silence, these workshops are a devo...",Expand or condense to 50-120 words,Only 49 words (need 50-120)
14,Autograph,Moods,IMPORTANT,moods,"['activist', 'awe', 'global']",Review against approved mood list,"Unapproved moods: activist, awe, global"
15,Bad Moon Café,Moods,IMPORTANT,moods,"['tactical', 'nerdy', 'inclusive']",Review against approved mood list,"Unapproved moods: tactical, nerdy, inclusive"
15,Bad Moon Café,Blurb,IMPORTANT,blurb,Wargaming wonderlands carved from foam and fire — ...,Expand or condense to 50-120 words,Only 28 words (need 50-120)
16,Battersea Arts Centre,Moods,IMPORTANT,moods,"['curious', 'playful']",Review against approved mood list,"Unapproved moods: curious, playful"
16,Battersea Arts Centre,Genres,IMPORTANT,genres,"['experimental theatre', 'boundary-pushing']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
16,Battersea Arts Centre,Blurb,IMPORTANT,blurb,"The go-to place for boundary-pushing theatre, harn...",Expand or condense to 50-120 words,Only 18 words (need 50-120)
17,BAW Dance,Moods,IMPORTANT,moods,"['playful', 'supportive', 'community-centred']",Review against approved mood list,"Unapproved moods: playful, supportive, community-centred"
17,BAW Dance,Blurb,IMPORTANT,blurb,"In mirrored rooms across the city, hips sway and l...",Expand or condense to 50-120 words,Only 47 words (need 50-120)
18,Bernie Grant Arts Centre,Moods,IMPORTANT,moods,"['rebellious', 'ritual']",Review against approved mood list,"Unapproved moods: rebellious, ritual"
18,Bernie Grant Arts Centre,Blurb,IMPORTANT,blurb,"A Black, female, and queer-led multi-artform venue...",Expand or condense to 50-120 words,Only 22 words (need 50-120)
19,Bethnal Green Working Men's Club,Moods,IMPORTANT,moods,"['rebellious', 'queer']",Review against approved mood list,"Unapproved moods: rebellious, queer"
19,Bethnal Green Working Men's Club,Blurb,IMPORTANT,blurb,"An East End institution hosting wild, unhinged nig...",Expand or condense to 50-120 words,Only 22 words (need 50-120)
20,Bill Murray,Moods,IMPORTANT,moods,"['comic', 'playful']",Review against approved mood list,"Unapproved moods: comic, playful"
20,Bill Murray,Genres,IMPORTANT,genres,['stand-up comedy'],Adjust to 3-5 genres,Has 1 genres (recommended 3-5)
21,Blue Elephant Theatre,Moods,IMPORTANT,moods,"['curious', 'playful', 'poetic']",Review against approved mood list,"Unapproved moods: curious, playful, poetic"
21,Blue Elephant Theatre,Blurb,IMPORTANT,blurb,A quirky oasis nurturing experimental work and eme...,Expand or condense to 50-120 words,Only 18 words (need 50-120)
22,Blythe Hill Tavern,Moods,IMPORTANT,moods,"['folk', 'tender']",Review against approved mood list,"Unapproved moods: folk, tender"
22,Blythe Hill Tavern,Genres,IMPORTANT,genres,"['Irish music', 'folk']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
22,Blythe Hill Tavern,Blurb,IMPORTANT,blurb,A CAMRA award-winning Victorian corner pub where T...,Expand or condense to 50-120 words,Only 19 words (need 50-120)
23,Body Love Sketch Club,Moods,IMPORTANT,moods,"['gentle', 'celebratory', 'inclusive', 'playful']",Review against approved mood list,"Unapproved moods: gentle, celebratory, inclusive, playful"
24,Boneyard London â€“ Introduction to Blacksmithing,Moods,IMPORTANT,moods,"['rustic', 'adventurous']",Review against approved mood list,"Unapproved moods: rustic, adventurous"
24,Boneyard London â€“ Introduction to Blacksmithing,Genres,IMPORTANT,genres,['introductory forging'],Adjust to 3-5 genres,Has 1 genres (recommended 3-5)
25,BookBar,Moods,IMPORTANT,moods,"['convivial', 'literary', 'sociable']",Review against approved mood list,"Unapproved moods: convivial, literary, sociable"
26,BrewBox London â€“ Home Brewing Workshop,Moods,IMPORTANT,moods,"['craft & making', 'curious', 'community']",Review against approved mood list,"Unapproved moods: craft & making, curious, community"
26,BrewBox London â€“ Home Brewing Workshop,Genres,IMPORTANT,genres,"['beer', 'homebrewing']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
27,BrewDog Outpost Tower Hill â€“ Beer School,Moods,IMPORTANT,moods,"['epicurean', 'curious', 'adult play']",Review against approved mood list,"Unapproved moods: epicurean, curious, adult play"
27,BrewDog Outpost Tower Hill â€“ Beer School,Genres,IMPORTANT,genres,"['beer', 'craft brewing']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
28,Brompton Bats â€“ Twilight Bat Survey Walk,Moods,IMPORTANT,moods,"['night wanderer', 'wild', 'curious']",Review against approved mood list,"Unapproved moods: night wanderer, wild, curious"
28,Brompton Bats â€“ Twilight Bat Survey Walk,Blurb,IMPORTANT,blurb,As dusk folds into the stone paths of Brompton Cem...,Expand or condense to 50-120 words,Only 49 words (need 50-120)
29,Brutalist Tour â€“ Evening Architectural Walk (Architectour Guide),Moods,IMPORTANT,moods,"['urban explorer', 'curious', 'night wanderer']",Review against approved mood list,"Unapproved moods: urban explorer, curious, night wanderer"
29,Brutalist Tour â€“ Evening Architectural Walk (Architectour Guide),Genres,IMPORTANT,genres,['brutalist architecture walk'],Adjust to 3-5 genres,Has 1 genres (recommended 3-5)
29,Brutalist Tour â€“ Evening Architectural Walk (Architectour Guide),Blurb,IMPORTANT,blurb,Concrete glows beneath amber streetlight on this m...,Expand or condense to 50-120 words,Only 47 words (need 50-120)
30,Bush Hall,Moods,IMPORTANT,moods,"['nostalgic', 'awe', 'ecstatic']",Review against approved mood list,"Unapproved moods: nostalgic, awe, ecstatic"
30,Bush Hall,Blurb,IMPORTANT,blurb,A restored Edwardian ballroom where chandeliers st...,Expand or condense to 50-120 words,Only 22 words (need 50-120)
31,Bush Theatre,Moods,IMPORTANT,moods,"['rant', 'salon']",Review against approved mood list,"Unapproved moods: rant, salon"
31,Bush Theatre,Genres,IMPORTANT,genres,"['new plays', 'emerging playwrights']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
31,Bush Theatre,Blurb,IMPORTANT,blurb,An internationally renowned champion of playwright...,Expand or condense to 50-120 words,Only 16 words (need 50-120)
32,Café OTO,Moods,IMPORTANT,moods,"['avant-garde', 'intimate', 'listening']",Review against approved mood list,"Unapproved moods: avant-garde, intimate, listening"
33,Camden Art Centre â€“ Natural Dyes Workshop,Moods,IMPORTANT,moods,"['craft & making', 'sustainable']",Review against approved mood list,"Unapproved moods: craft & making, sustainable"
33,Camden Art Centre â€“ Natural Dyes Workshop,Genres,IMPORTANT,genres,"['natural dyeing using kitchen waste', 'plant dye extraction']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
34,Camden People's Theatre,Moods,IMPORTANT,moods,"['curious', 'rebellious']",Review against approved mood list,"Unapproved moods: curious, rebellious"
34,Camden People's Theatre,Genres,IMPORTANT,genres,"['contemporary performance', 'emerging artists']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
34,Camden People's Theatre,Blurb,IMPORTANT,blurb,"A small, independent venue championing emerging ar...",Expand or condense to 50-120 words,Only 16 words (need 50-120)
35,Cecil Sharp House,Moods,IMPORTANT,moods,"['folk', 'tender']",Review against approved mood list,"Unapproved moods: folk, tender"
35,Cecil Sharp House,Genres,IMPORTANT,genres,"['folk music', 'folk dance']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
35,Cecil Sharp House,Blurb,IMPORTANT,blurb,"The world-class folk arts centre, home to the Engl...",Expand or condense to 50-120 words,Only 19 words (need 50-120)
36,Chats Palace,Moods,IMPORTANT,moods,"['inclusive', 'radical', 'celebratory']",Review against approved mood list,"Unapproved moods: inclusive, radical, celebratory"
37,Chickenshed Theatre,Moods,IMPORTANT,moods,"['activist', 'tender', 'community']",Review against approved mood list,"Unapproved moods: activist, tender, community"
37,Chickenshed Theatre,Genres,IMPORTANT,genres,"['inclusive theatre', 'community productions']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
38,Circle of Trees – Environmental Arts Therapy UK,Moods,IMPORTANT,moods,"['ritual', 'wild']",Review against approved mood list,"Unapproved moods: ritual, wild"
38,Circle of Trees – Environmental Arts Therapy UK,Genres,IMPORTANT,genres,"['environmental arts therapy', 'nature connection']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
38,Circle of Trees – Environmental Arts Therapy UK,Blurb,IMPORTANT,blurb,"Out in the woods, beneath ash and elder, circles f...",Expand or condense to 50-120 words,Only 46 words (need 50-120)
39,CLF Art CafÃ©,Moods,IMPORTANT,moods,"['ecstatic', 'wild']",Review against approved mood list,"Unapproved moods: ecstatic, wild"
39,CLF Art CafÃ©,Genres,IMPORTANT,genres,"['house', 'electro', 'drum & bass', 'techno', 'funk', 'soul']",Adjust to 3-5 genres,Has 6 genres (recommended 3-5)
39,CLF Art CafÃ©,Blurb,IMPORTANT,blurb,A multi-floor creative arts centre hosting everyth...,Expand or condense to 50-120 words,Only 21 words (need 50-120)
40,CLF Art Lounge & Pop-Up,Moods,IMPORTANT,moods,"['tropical', 'improvised', 'community-minded']",Review against approved mood list,"Unapproved moods: tropical, improvised, community-minded"
41,CLF Art Lounge & Roof Garden,Moods,IMPORTANT,moods,"['curious', 'playful']",Review against approved mood list,"Unapproved moods: curious, playful"
41,CLF Art Lounge & Roof Garden,Blurb,IMPORTANT,blurb,"A rooftop dreamscape above Peckham, where jazz flo...",Expand or condense to 50-120 words,Only 19 words (need 50-120)
42,Colour Factory,Moods,IMPORTANT,moods,"['big night out', 'queer', 'rebellious']",Review against approved mood list,"Unapproved moods: big night out, queer, rebellious"
42,Colour Factory,Genres,IMPORTANT,genres,"['club nights', 'live music']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
43,Colour House Theatre,Moods,IMPORTANT,moods,"['family-friendly', 'playful']",Review against approved mood list,"Unapproved moods: family-friendly, playful"
43,Colour House Theatre,Genres,IMPORTANT,genres,"[""children's theatre"", 'blues']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
43,Colour House Theatre,Blurb,IMPORTANT,blurb,A Grade II-listed building hosting weekend childre...,Expand or condense to 50-120 words,Only 18 words (need 50-120)
44,Conway Hall,Moods,IMPORTANT,moods,"['word', 'sacred']",Review against approved mood list,"Unapproved moods: word, sacred"
44,Conway Hall,Blurb,IMPORTANT,blurb,A Grade II listed hall from 1929 housing the large...,Expand or condense to 50-120 words,Only 20 words (need 50-120)
45,Cordon Bleu London â€“ Culinary Short Courses,Moods,IMPORTANT,moods,"['craft & making', 'epicurean', 'refined']",Review against approved mood list,"Unapproved moods: craft & making, epicurean, refined"
46,Corner New Cross,Moods,IMPORTANT,moods,"['queer', 'playful']",Review against approved mood list,"Unapproved moods: queer, playful"
46,Corner New Cross,Blurb,IMPORTANT,blurb,"An LGBTQIA+-led neighbourhood coffee shop, cocktai...",Expand or condense to 50-120 words,Only 19 words (need 50-120)
47,Cubitt Artists,Moods,IMPORTANT,moods,"['experimental', 'community-driven', 'queer-affirming']",Review against approved mood list,"Unapproved moods: experimental, community-driven, queer-affirming"
48,Culinary Anthropologist â€“ Charcuterie Masterclass,Moods,IMPORTANT,moods,"['craft & making', 'epicurean', 'curious']",Review against approved mood list,"Unapproved moods: craft & making, epicurean, curious"
48,Culinary Anthropologist â€“ Charcuterie Masterclass,Genres,IMPORTANT,genres,"['charcuterie', 'butchery']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
48,Culinary Anthropologist â€“ Charcuterie Masterclass,Blurb,IMPORTANT,blurb,In a North London kitchen kissed by spice and stud...,Expand or condense to 50-120 words,Only 49 words (need 50-120)
49,Dice & Destiny Board Game Café,Moods,IMPORTANT,moods,"['inviting', 'geeky', 'chilled']",Review against approved mood list,"Unapproved moods: inviting, geeky, chilled"
49,Dice & Destiny Board Game Café,Blurb,IMPORTANT,blurb,"A Kentish outpost with Larkish heart — not London,...",Expand or condense to 50-120 words,Only 28 words (need 50-120)
50,Dino Snores for Grown Ups â€“ Natural History Museum Sleepover,Moods,IMPORTANT,moods,"['night wanderer', 'curious', 'playful']",Review against approved mood list,"Unapproved moods: night wanderer, curious, playful"
50,Dino Snores for Grown Ups â€“ Natural History Museum Sleepover,Genres,IMPORTANT,genres,"['museum sleepover', 'dark experience']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
50,Dino Snores for Grown Ups â€“ Natural History Museum Sleepover,Blurb,IMPORTANT,blurb,"The whale looms above your sleeping bag, vast and ...",Expand or condense to 50-120 words,Only 46 words (need 50-120)
51,Draughts – Board Game Café,Moods,IMPORTANT,moods,"['playful', 'welcoming', 'strategic']",Review against approved mood list,"Unapproved moods: playful, welcoming, strategic"
51,Draughts – Board Game Café,Blurb,IMPORTANT,blurb,A game-slick hideaway where minds meet over meeple...,Expand or condense to 50-120 words,Only 30 words (need 50-120)
52,Dusty Knuckle Bakery â€“ Fermentation Workshop,Moods,IMPORTANT,moods,"['craft & making', 'curious', 'adult play']",Review against approved mood list,"Unapproved moods: craft & making, curious, adult play"
53,EartH,Moods,IMPORTANT,moods,"['ecstatic', 'curious']",Review against approved mood list,"Unapproved moods: ecstatic, curious"
53,EartH,Genres,IMPORTANT,genres,"['experimental', 'cutting-edge']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
53,EartH,Blurb,IMPORTANT,blurb,A refurbished 1930s cinema with three spaces hosti...,Expand or condense to 50-120 words,Only 16 words (need 50-120)
54,East London Strippers Collective Life Drawing,Moods,IMPORTANT,moods,"['rebellious', 'celebratory', 'destigmatising']",Review against approved mood list,"Unapproved moods: rebellious, celebratory, destigmatising"
54,East London Strippers Collective Life Drawing,Blurb,IMPORTANT,blurb,"Here, the pole is both pedestal and paintbrush. St...",Expand or condense to 50-120 words,Only 49 words (need 50-120)
55,Eco-Somatic Movement Workshops – Katsura Isobe,Moods,IMPORTANT,moods,"['seasonal', 'earthy']",Review against approved mood list,"Unapproved moods: seasonal, earthy"
55,Eco-Somatic Movement Workshops – Katsura Isobe,Blurb,IMPORTANT,blurb,This is movement born of leaf and sky. Guided by t...,Expand or condense to 50-120 words,Only 48 words (need 50-120)
56,Ecstatic Dance London â€“ The Ritual,Moods,IMPORTANT,moods,"['ecstatic', 'spiritual', 'connected', 'transformative']",Review against approved mood list,"Unapproved moods: ecstatic, spiritual, connected, transformative"
56,Ecstatic Dance London â€“ The Ritual,Blurb,IMPORTANT,blurb,No talking. No shoes. No spectators. The Ritual is...,Expand or condense to 50-120 words,Only 49 words (need 50-120)
57,Ecstatic Dance UK â€“ Sunday Sessions,Moods,IMPORTANT,moods,"['free-spirited', 'mindful', 'inclusive']",Review against approved mood list,"Unapproved moods: free-spirited, mindful, inclusive"
58,Ecstatic Dance UK – Sun·day Dance,Moods,IMPORTANT,moods,"['liberated', 'grounded']",Review against approved mood list,"Unapproved moods: liberated, grounded"
58,Ecstatic Dance UK – Sun·day Dance,Genres,IMPORTANT,genres,"['ecstatic dance', 'conscious movement']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
59,Finborough Theatre,Moods,IMPORTANT,moods,"['curious', 'activist']",Review against approved mood list,"Unapproved moods: curious, activist"
59,Finborough Theatre,Genres,IMPORTANT,genres,"['new writing', 'rediscovered works']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
59,Finborough Theatre,Blurb,IMPORTANT,blurb,"A pocket-sized powerhouse above a pub, presenting ...",Expand or condense to 50-120 words,Only 19 words (need 50-120)
60,Forage London â€“ Wild Food & Nature Walk (Tower Hamlets Cemetery Park),Moods,IMPORTANT,moods,"['wild', 'curious', 'urban explorer']",Review against approved mood list,"Unapproved moods: wild, curious, urban explorer"
60,Forage London â€“ Wild Food & Nature Walk (Tower Hamlets Cemetery Park),Blurb,IMPORTANT,blurb,"In the hush of a Victorian cemetery, nettles and m...",Expand or condense to 50-120 words,Only 49 words (need 50-120)
61,Forage London â€” Wild Food and Nature Walk (E3),Moods,IMPORTANT,moods,"['curious', 'nature-connected', 'craft & making']",Review against approved mood list,"Unapproved moods: curious, nature-connected, craft & making"
61,Forage London â€” Wild Food and Nature Walk (E3),Genres,IMPORTANT,genres,"['foraging', 'urban wild foods']",Adjust to 3-5 genres,Has 2 genres (recommended 3-5)
62,Four Quarters,Moods,IMPORTANT,moods,"['nostalgic', 'social', 'boozy']",Review against approved mood list,"Unapproved moods: nostalgic, social, boozy"
62,Four Quarters,Blurb,IMPORTANT,blurb,Arcade alchemy in three boroughs — where laughter ...,Expand or condense to 50-120 words,Only 22 words (need 50-120)
63,Fox & Firkin,Moods,IMPORTANT,moods,"['rebellious', 'playful', 'wild', 'earthy']",Review against approved mood list,"Unapproved moods: rebellious, playful, wild, earthy"
63,Fox & Firkin,Blurb,IMPORTANT,blurb,A sprawling garden hides a restored 1950s train ca...,Expand or condense to 50-120 words,Only 23 words (need 50-120)
64,Freeweaver Studio,Moods,IMPORTANT,moods,"['meditative', 'curious']",Review against approved mood list,"Unapproved moods: meditative, curious"
65,Friends of Nunhead Cemetery â€“ Guided Tours & Bat Sighting Walks,Moods,IMPORTANT,moods,"['haunted', 'historical', 'wild']",Review against approved mood list,"Unapproved moods: haunted, historical, wild"
